Last Update,Neighbourhood,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area,External Area,Total Area,Rate,Price,Discounted amount,Launch day Price Incl.VAT,Status,Orientation/View
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,527,2 BED,69,16,85,68212,5798000,,,UNSOLD,Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,5th,529,2 BED,76,57,133,59158,7868000,,,SOLD,Cnr CT/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,603,2 BED,63,28,91,60385,5495000,,,SOLD,Cnr CT/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,612,2 BED,63,28,91,60385,5495000,,,SOLD,Cnr SP/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,618,2 BED,76,49,125,59960,7495000,,,SOLD,Cnr SP/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,6th,629,2 BED,76,49,125,59960,7495000,,,SOLD,Cnr CT/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,701,2 BED,81,31,112,61830,6925000,,,SOLD,Cnr CT/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,704,2 BED,81,31,112,61830,6925000,,,SOLD,Cnr SP/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,706,2 BED,93,55,148,60473,8950000,,,SOLD,C SP/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,7th,710,2 BED,93,55,148,60473,8950000,,,SOLD,C CT/Sea View
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,801,2 BED,81,31,112,62054,6950000,,,SOLD,Cnr CT/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,8th,804,2 BED,81,31,112,62054,6950000,,,SOLD,Cnr SP/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,9th,901,2 BED,81,31,112,62277,6975000,,,SOLD,Cnr CT/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,9th,904,2 BED,81,31,112,62277,6975000,,,SOLD,Cnr SP/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,10th,1001,2 BED,92,31,123,73163,8999000,,,SOLD,Cnr SP/Mount
10-Feb-23,Sea Point,Station House,Berman Brothers,10th,1002,2 BED,98,17,115,69130,7950000,,,SOLD,Mountain
10-Feb-23,Sea Point,Station House,Berman Brothers,10th,1101,2 BED,98,17,115,69130,7950000,,,SOLD,
10-Feb-23,Sea Point,Station House,Berman Brothers,10th,1102,2 BED,98,17,115,69130,7950000,,,SOLD,
