Last Update,Area,Development,Developer,Floor Level,Apartment Number ,ApartmentType,Internal Area ,External Area ,Total Area ,Rate per m2,Price Incl. VAT ,Discounted amount,Launch day Price Incl.VAT,Sold/Unsold(Status),Orientation/View
,Sea Point,THREE43 ON B,Blok,3rd,309,Studio,30,4,34,60294,2050000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,310,Studio,30,4,34,60294,2050000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,311,1 bed,40,7,47,58511,2750000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,312,Studio,34,5,39,57692,2250000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,313,Studio,34,5,39,57692,2250000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,314,Micro,20,4,24,58958,1415000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,315,Micro,20,4,24,58958,1415000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,316,Micro,24,4,28,54464,1525000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,317,Studio,30,5,35,56429,1975000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,318,Studio,29,5,34,55147,1875000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,319,Studio,29,5,34,55147,1875000,,,Sold,
,Sea Point,THREE43 ON B,Blok,3rd,320,Studio,28,5,33,56818,1875000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,401,Studio,29,4,33,56061,1850000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,402,Micro,17,1,18,59722,1075000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,403,1 bed,40,12,52,54327,2825000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,404,2 bed,67,11,78,58333,4550000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,405,Studio,30,4,34,64559,2195000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,406,Micro,20,3,23,64130,1475000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,407,Micro,20,3,23,64130,1475000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,408,2 bed,61,9,70,62143,4350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,409,Studio,34,5,39,60256,2350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,410,Studio,34,5,39,60256,2350000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,411,1 bed,42,6,48,58854,2825000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,412,Micro,24,4,28,56250,1575000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,413,Studio,30,5,35,60000,2100000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,414,Studio,29,5,34,57353,1950000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,415,Studio,29,5,34,55882,1900000,,,Sold,
,Sea Point,THREE43 ON B,Blok,4th,416,Studio,28,5,33,59091,1950000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,501,Studio,29,4,33,58333,1925000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,502,2 bed,68,10,78,61218,4775000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,503,2 bed,69,16,85,58765,4995000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,504,1 bed,42,4,46,62935,2895000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,505,Micro,20,3,23,66304,1525000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,506,2 bed,73,12,85,58765,4995000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,507,1 bed,42,6,48,60313,2895000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,508,Studio,34,5,39,62179,2425000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,509,2 bed,68,11,79,61962,4895000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,510,2 bed,66,12,78,60577,4725000,,,Sold,
,Sea Point,THREE43 ON B,Blok,5th,511,Micro,21,2,23,66304,1525000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,601,1 bed,41,14,55,57273,3150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,602,3 bed,83,41,124,59677,7400000,,,Unsold,
,Sea Point,THREE43 ON B,Blok,6th,603,1 bed,42,4,46,65109,2995000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,604,Micro,20,3,23,69348,1595000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,605,2 bed,73,12,85,60588,5150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,606,1 bed,42,6,48,60938,2925000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,607,Studio,34,5,39,64744,2525000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,608,2 bed,68,11,79,65190,5150000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,609,2 bed,66,12,78,63141,4925000,,,Sold,
,Sea Point,THREE43 ON B,Blok,6th,610,Micro,21,2,23,67391,1550000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,701,2 bed,62,24,86,54942,4725000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,702,2 bed,70,26,96,59323,5695000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,703,Micro,20,3,23,71739,1650000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,704,2 bed,73,12,85,62647,5325000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,705,1 bed,42,6,48,64583,3100000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,706,Studio,34,5,39,69231,2700000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,707,2 bed,68,11,79,66456,5250000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,708,2 bed,66,12,78,65705,5125000,,,Sold,
,Sea Point,THREE43 ON B,Blok,7th,709,Micro,21,2,23,70652,1625000,,,Sold,
,Sea Point,THREE43 ON B,Blok,8th,801,3 bed,90,35,125,64000,8000000,,,Sold,
,Sea Point,THREE43 ON B,Blok,8th,802,2 bed,97,29,126,64841,8170000,,,Sold,
,Sea Point,THREE43 ON B,Blok,8th,803,2 bed,94,22,116,64224,7450000,,,Sold,
,Sea Point,THREE43 ON B,Blok,8th,804,3 bed,123,32,155,58032,8995000,,,Sold,
